H,C,N,O,S,F,Si,P,Cl,Br,Mg,Na,Ca,Fe,As,Al,I,B,V,K,Tl,Yb,Sb,Sn,Ag,Pd,Co,Se,Ti,Zn,Li,Ge,Cu,Au,Ni,Cd,In,Mn,Zr,Cr,Pt,Hg,Pb,Unknown,S,SP,SP2,SP3,SP3D,SP3D2,OTHER,total_atom_in_ring,total_atom_in_aromatic_ring,atomic_mass,total_CHI_UNSPECIFIED,total_CHI_TETRAHEDRAL_CW,total_CHI_TETRAHEDRAL_CCW,total_CHI_OTHER,total_single,total_double,total_triple,total_aromatic,total_conjugated_bond,total_bond_in_ring,total_STEREOZ,total_STEREOE,toal_STEREOANY,total_STEREONONE,label
0,26,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,32,28,0,31,0,0,0,8,1,0,29,36,35,0,0,0,38,0
0,28,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27,0,0,0,25,0,0,25,3,5,0,37,3,0,0,3,30,0,0,0,40,0
0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,10,0,0,0,6,3,0,0,8,0,0,1,0,8,0
0,22,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,0,0,0,16,11,0,31,0,0,0,20,3,0,11,18,17,0,0,0,35,0
0,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,30,26,0,29,0,0,0,8,0,0,27,32,33,0,0,0,36,1
0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,22,0,0,19,3,5,0,32,1,0,0,0,26,0,0,0,34,1
0,14,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,10,10,0,24,0,0,0,13,2,0,10,16,11,0,0,0,26,1
0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,0,5,1,2,0,11,0,0,0,0,6,0,0,0,11,1
0,24,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,0,0,0,28,23,0,30,0,0,0,11,1,0,24,29,30,0,0,0,36,2
0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,18,0,0,15,2,5,0,27,0,0,0,0,21,0,0,0,28,2
0,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,9,9,0,14,0,0,0,3,1,0,10,16,10,0,0,0,15,2
0,26,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,0,0,0,27,5,0,31,1,1,0,29,5,0,6,16,31,0,0,0,40,2
0,22,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,7,0,0,0,26,16,0,28,0,0,0,15,1,0,17,23,29,0,0,0,35,3
0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,17,0,0,13,3,5,0,26,0,0,0,0,20,0,0,0,26,3
0,13,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0,0,5,5,0,21,0,0,0,14,2,0,6,14,6,0,0,0,22,3
0,23,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,0,0,0,26,5,0,26,1,1,0,27,2,0,6,11,30,0,0,0,35,3
0,21,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,0,0,0,23,11,0,27,0,0,0,17,4,0,12,25,26,0,0,0,33,4
0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,10,0,0,11,1,3,0,19,0,0,0,0,11,0,0,0,19,4
0,12,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,5,5,0,20,0,0,0,14,1,0,5,12,5,0,0,0,22,4
0,22,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,0,0,0,22,5,0,24,1,1,0,25,0,0,5,6,25,0,0,0,31,4
